,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
0,new shows gut prevent,0.2,0.2,0.2,0.2,0.2,Neutral
1,light examine necessary many tend,0.2,0.2,0.2,0.2,0.2,Neutral
2,nikole discusses sparked,0.2,0.2,0.2,0.2,0.2,Neutral
3,traditionally considered incompatible mental used,0.2,0.2,0.2,0.2,0.2,Neutral
4,arias archive arrives houghton,0.2,0.2,0.2,0.2,0.2,Neutral
5,new belonging conjuring,0.2,0.2,0.2,0.2,0.2,Neutral
6,took many starting iranian,0.2,0.2,0.2,0.2,0.2,Neutral
7,trump begin discusses healing,1.900000,0.615000,0.705000,0.680000,0.575000,Happiness
8,new suggests female often gender,1.295000,0.725000,0.655000,0.705000,0.710000,Happiness
9,david find military lost,0.670000,1.215000,1.735000,1.450000,0.830000,Fear
10,amp regret,0.2,0.2,0.2,0.2,0.2,Neutral
11,unionized continue negotiate remain,0.2,0.2,0.2,0.2,0.2,Neutral
12,crossing new probing ideas belonging,1.530000,0.660000,0.660000,0.665000,0.605000,Happiness
13,alumna leading national means american,0.2,0.2,0.2,0.2,0.2,Neutral
14,make good win minds,1.963333,0.740000,0.783333,0.743333,0.676667,Happiness
15,sometimes get leaky instead plugging leak available reduce,0.2,0.2,0.2,0.2,0.2,Neutral
16,turned musical takes mobydick,2.130000,0.815000,0.660000,0.895000,0.610000,Happiness
17,mba find military lost,0.335000,0.607500,0.867500,0.725000,0.415000,Fear
18,crucial examines keep,0.2,0.2,0.2,0.2,0.2,Neutral
19,aysha upchurchs new exploring groove,0.2,0.2,0.2,0.2,0.2,Neutral
20,include new walking paths hockey rink playing spacious,0.2,0.2,0.2,0.2,0.2,Neutral
21,new curated personal complicated activist scholar,1.705000,0.887500,0.880000,0.880000,0.770000,Happiness
22,back ryanlraffaellis independent,0.2,0.2,0.2,0.2,0.2,Neutral
23,harvard named deep helped along,1.270000,0.745000,0.660000,0.695000,0.630000,Happiness
24,named american,0.635000,0.372500,0.330000,0.347500,0.315000,Happiness
