id,created_at,text
1203041466156822529,2019-12-06 20:00:11,A new @harvardmed study in mice shows nerves in the gut prevent Salmonella infection. https://t.co/wopoYn0y8W
1203011298256195587,2019-12-06 18:00:19,"Caroline Light and her students examine why the culture undervalues some necessary jobs, many of which tend to be d… https://t.co/ZNZJuXWYC7"
1202966042630377472,2019-12-06 15:00:29,Nikole Hannah-Jones of @nytimes discusses the evolution of the #1619Project — and the Twitter dispute that sparked… https://t.co/CFs4GrV7TD
1202955239885701122,2019-12-06 14:17:33,"Religion, traditionally considered incompatible with mental health care, is being used to help treat patients in a… https://t.co/Y25ddWeRNz"
1202694156826693632,2019-12-05 21:00:06,Performer Joey Arias’ archive — from David Bowie to Cirque du Soleil — arrives at the Houghton Library https://t.co/7taQVX3vJa
1202671486278000641,2019-12-05 19:30:01,A new @harvartmuseums explores migration and belonging — while conjuring memories for some visitors. https://t.co/tIvt1yBCnI
1202618773271920641,2019-12-05 16:00:33,"Minoo Ghoreishi's road to graduation took many turns, starting with the Iranian Revolution. The 40-year college jou… https://t.co/C1lur381Nr"
1202594268361027587,2019-12-05 14:23:11,"As Trump impeachment hearings begin, a @Kennedy_School panel discusses the prospects of healing a riven America. https://t.co/ip7B0DnUZe"
1202339295845126146,2019-12-04 21:30:01,Research from a new faculty member in @HarvardHEB suggests female bonobos are often group leaders; gender cooperati… https://t.co/hPeIdL1JmY
1202309112299687937,2019-12-04 19:30:04,"David Kim @HBSAlumni ’94, is on a mission to find military children who have lost parents in the line of duty, and… https://t.co/HSh4TRIDyL"
1202305370258980864,2019-12-04 19:15:12,"@hgse A correction: this course is through Theater, Dance &amp; Media. We regret the error."
1202265212985851904,2019-12-04 16:35:38,"The University and unionized student worker representatives continue to negotiate, but differences remain on wages,… https://t.co/k6FDoxnEbC"
1202256268322172930,2019-12-04 16:00:05,"""Crossing Lines,” the new @harvartmuseums exhibition probing ideas about immigration and belonging, evokes memories… https://t.co/gcuOTQ6YIm"
1202001480678432768,2019-12-03 23:07:39,A @hgse alumna and her students are leading a national effort to redefine what it means to be an American. https://t.co/EjGHKVZR7s
1201925254282539008,2019-12-03 18:04:45,"The gaffes and zingers may make good memes, but candidates win hearts and minds on doorsteps, not podiums, a… https://t.co/b7pKeoKV2r"
1201573263073255424,2019-12-02 18:46:04,"RT @wyssinstitute: Sometimes our lungs can get leaky, but instead of plugging the leak, all available drugs do is reduce the flow. A study…"
1201531475126034432,2019-12-02 16:00:01,"The playwright who turned ""War and Peace"" into a musical takes on ""Moby-Dick."" @dave_malloy's adaptation of Melvill… https://t.co/1Tn2pXGIZq"
1201501303668662272,2019-12-02 14:00:08,"David Kim, M.B.A. ’94, is on a mission to find military children who have lost parents in the line of duty, and to… https://t.co/azkSFOLpRQ"
1201497542145363969,2019-12-02 13:45:11,"RT @HarvardHBS: As the #retail season enters its most crucial time of year, @HBSWK examines what retailers are doing to keep up with #digit…"
1201259681668370433,2019-12-01 22:00:01,"In Aysha Upchurch’s new @hgse course, “Hip Hop Dance: Exploring the Groove and the Movement Beneath and Beyond the… https://t.co/ppeWnldTLk"
1201217701768781824,2019-12-01 19:13:12,"RT @HarvardLocal: Smith Field's renovations include a playground, new walking paths, a street hockey rink, playing fields, a spacious amphi…"
1201161534279487488,2019-12-01 15:30:00,"New exhibit, curated from her personal archive, chronicles the life of a complicated activist and scholar, Angela D… https://t.co/20N9cM13u3"
1200883030971297797,2019-11-30 21:03:20,"RT @HarvardHBS: For #SmallBusinessSaturday, we look back on @ryanlraffaelli's research on independent bookstores—like @PorterSqBooks—and ho…"
1200851999912267776,2019-11-30 19:00:02,Seven Harvard seniors named #RhodesScholars each share a deep sense of gratitude to all who helped along the way. https://t.co/N9rUNyAhOo
1200791614580543488,2019-11-30 15:00:05,"Nine Harvard researchers have been named fellows of the American Association for the Advancement of Science @aaas,… https://t.co/5ebeUXDbPB"
1200784046936199169,2019-11-30 14:30:00,An FDA-approved drug shows promise against treatment of #ALS in mice. https://t.co/ITO05uz0cp
1200565104611352577,2019-11-30 00:00:01,"Alexis Wheeler, J.D. ’09, is helping high school students in her home state of Washington overcome barriers to high… https://t.co/feWXP1fgwk"
1200527355380412418,2019-11-29 21:30:00,"In research led by investigators at Harvard-affiliated Massachusetts General Hospital, treatment with an anti-infla… https://t.co/ynb2SPeNIz"
1200510725195751425,2019-11-29 20:23:55,A new @hgse hip-hop class layers movement with lessons in the genre's social and cultural history. https://t.co/0bE1mTTOjQ
1200082409267617793,2019-11-28 16:01:57,"What’s cooking for the holiday break? Students share their plans for Thanksgiving and what traditions, and foods, t… https://t.co/aeOh6I281O"
1200059312061779969,2019-11-28 14:30:10,#HappyThanksgiving from Harvard! 🦃 https://t.co/9NyLZCdZPv
1199882162511720449,2019-11-28 02:46:14,"RT @hgse: As you prepare for your #Thanksgiving meal, @UKnowHGSE offers some pointers for the dinner table conversation: https://t.co/f6Mu3…"
1199787480993673222,2019-11-27 20:30:01,"Some songs sound ‘right’ in different social contexts, all over the world. Scientists at @harvard_data and… https://t.co/aUpeoOiglx"
1199757281874907138,2019-11-27 18:30:01,"More than 4,000 letters of appreciation were handwritten during the Faculty of Arts and Sciences’ Giving Thanks eve… https://t.co/OSIUJpscUo"
1199735022422544385,2019-11-27 17:01:34,"What’s cooking for the holiday break? Students share their plans for Thanksgiving and what traditions, and foods, t… https://t.co/tLqbWjbnnP"
1199704453991092225,2019-11-27 15:00:05,"Wild turkeys have become a familiar sight around campus, grazing, roosting, and stopping traffic. https://t.co/8BhziTp5LG"
1199689379587002369,2019-11-27 14:00:11,"Nine Harvard researchers have been named fellows of the American Association for the Advancement of Science @aaas,… https://t.co/BfIU4pJOh1"
1199455292116938753,2019-11-26 22:30:01,"More than 4,000 letters of appreciation were handwritten during the Faculty of Arts and Sciences’ Giving Thanks eve… https://t.co/s2Gf3fMgKq"
1199425093992144897,2019-11-26 20:30:01,Is music universal? Scientists at @harvard_data and @_themusiclab have just published the most comprehensive scient… https://t.co/c47DfafOVt
1199402527084744705,2019-11-26 19:00:20,"It’s widely believed that the process of evolution took place over eons. That might not be the case, according to t… https://t.co/rsjUwaTSDA"
1199357215980826627,2019-11-26 16:00:17,"A new, orally administered liquid salt reduces weight in rats fed high-fat diets without causing side effects, poin… https://t.co/kB92iktQON"
1199329628969525249,2019-11-26 14:10:40,Seven Harvard seniors have been named #RhodesScholars. Two other seniors have earned @MitchellScholar awards. https://t.co/05iYLINhf9
1199108002911019008,2019-11-25 23:30:00,An innovative private-public partnership led by Harvard and @MIT aims to accelerate one of the hottest and most pro… https://t.co/TTYrm0g02f
1199075407787544576,2019-11-25 21:20:29,RT @HarvardAsh: Diverse products and services may be key to a competitive local economy with high-paying jobs. But how is economic diversit…
1199040318005342210,2019-11-25 19:01:03,RT @BostonChildrens: New research reveals young women who use diet pills and laxatives for #weight control have a higher risk of being diag…
1198992240422596610,2019-11-25 15:50:00,The research sheds light on neural mechanisms that help organisms build spatial maps of their world https://t.co/529xNCi1ob
1198921464499458050,2019-11-25 11:08:46,"@MIT Leading local hospitals, major corporations and state officials, will create a new center for advanced biologi… https://t.co/n423gR7JdC"
1198921067319853056,2019-11-25 11:07:11,Announcing an innovative public-private partnership led by Harvard and @MIT to bolster the state’s role as a leadin… https://t.co/l6k9L4mJOv
1198800981456281600,2019-11-25 03:10:01,New assistant professor of African and African American Studies Daniel Agbiboa studies movement and its effects on… https://t.co/gY0yUiBV4S
1198740650545598464,2019-11-24 23:10:17,Five Harvard students were among the 32 named #RhodesScholars yesterday. They will pursue a broad range of studies… https://t.co/TEory6aceW
1198724230076076032,2019-11-24 22:05:02,The National Academy of Medicine prize contest will award $30 million to foster innovations in healthy aging https://t.co/wy3Igp1x24
1198639924234334217,2019-11-24 16:30:02,What does an academic CV look like? Is it important to join a scholarly association? How do travel grants work? Thi… https://t.co/2Dwb0SeU1P
1198594644105412608,2019-11-24 13:30:06,"Harvard in autumn 🍂 

See more photos: https://t.co/q54vCd8k01 https://t.co/bre0AvLmg2"
1198400843449618432,2019-11-24 00:40:00,"Researchers have developed a compact, room-temperature, widely tunable terahertz laser https://t.co/M7ZjvXLf8M"
1198327862870364166,2019-11-23 19:50:01,The study also sheds light on a form of short-term memory known as unsupervised learning https://t.co/529xNCi1ob
1198298921828831232,2019-11-23 17:55:00,"The exhibition takes a look at dining and food production, exploring what our meals ­— and how they are served — re… https://t.co/KZRxlVHSY6"
1198241040408481793,2019-11-23 14:05:00,"With combative parents and coaches driving a nationwide shortage of referees, a Harvard psychologist explores what'… https://t.co/UMxNqkL6QF"
1198048522047827971,2019-11-23 01:20:00,The research effort will use a smartphone app to collect data in order to advance understanding of menstrual and gy… https://t.co/RIcQ4ralL5
1197989382294310914,2019-11-22 21:25:00,"The First Generation Harvard Alumni Red Book, published by the @HarvardAlumni Association, gives first-gen graduate… https://t.co/t9srlDeSQz"
1197959684273123330,2019-11-22 19:27:00,"RT @HarvardLocal: In 2019, @Harvard announced its recommitment of the Harvard Local Housing Collaborative, an initiative that has helped fi…"
1197945375698685955,2019-11-22 18:30:08,"Fall on campus 🍂 

More photos: https://t.co/q54vCd8k01 https://t.co/uUHI5yMiO7"
1197917664376754178,2019-11-22 16:40:02,Anthropologist Christina Warinner was among the first researchers to realize that calcified plaque could shed new l… https://t.co/20OEHhOIAz
