id,created_at,text
1201590704071495680,2019-12-02 19:55:22,RT @MITSloanAlumni: Startups working to broaden economic opportunities around the world were awarded $1.6 million in prizes at the @MIT_IIC…
1201579301914763264,2019-12-02 19:10:04,"RT @MITBiology: In a new @PNASNews study, the Jaenisch lab @WhiteheadInst has developed a new method to generate microglia, the brain’s res…"
1201562508051591169,2019-12-02 18:03:20,"RT @broadinstitute: During medical school, Zhanyan Fu felt drawn to research the molecular mechanisms of disease instead of becoming a phys…"
1201547857288933376,2019-12-02 17:05:07,"The technology of enchantment: In a new anthropology and studio art course, MIT students investigate the human dime… https://t.co/1ANAPbl4P6"
1201532748067954688,2019-12-02 16:05:05,"Transformation by design: Skylar Tibbits makes materials that water, heat, or mechanical forces can alter into new… https://t.co/qdpBNfH93B"
1201517651484430336,2019-12-02 15:05:05,First winter storm of the season. Bundle up and stay safe if you're in #CambMA! 🌬🌨❄️ https://t.co/r5NX0bOkor
1201170354225516549,2019-12-01 16:05:03,MIT-Italy helps build supercharged partnerships on campus and across the globe. https://t.co/fBWLXEYYN4 https://t.co/TyrA4ZZbGy
1200807967169372161,2019-11-30 16:05:03,"Top honors awarded to fields in the School of Humanities, Arts, and Social Sciences and in the MIT Sloan School of… https://t.co/IJIOE488nG"
1200445603135840257,2019-11-29 16:05:09,Giving voice to a student community with a “silent” identity: The First Generation Program is ramping up support fo… https://t.co/kPNgvqVjrX
1200099970939899905,2019-11-28 17:11:44,"RT @MITAeroAstro: Yesterday, we hosted our first-ever ""Thankful Gathering,"" where guests enjoyed a turkey dinner and other autumn-inspired…"
1200068455506042880,2019-11-28 15:06:30,"Happy Thanksgiving to you and your loved ones! We hope you are safe and warm, wherever you are.

Image: Chelsea Tur… https://t.co/RSLwaVnjfk"
1199749049395617793,2019-11-27 17:57:18,RT @MIT_alumni: VIDEO: Looking back at @MIT’s beloved Doc Edgerton and his #Thanksgiving tradition https://t.co/8s5uISfcrE 🦃🥧 https://t.co/…
1199735914135793666,2019-11-27 17:05:06,Dan Huttenlocher on the formation of the MIT Schwarzman College of Computing https://t.co/oNsCu3Beei https://t.co/mSyxBLiaTn
1199720788678475776,2019-11-27 16:05:00,"In 2.00a, first-year students create their own machines to see how the fundamentals they’re learning apply to real-… https://t.co/wFy8BPlRcN"
1199705712320040961,2019-11-27 15:05:05,Model alerts driverless cars when it’s safest to merge into traffic at intersections with obstructed views.… https://t.co/IdNJWbVNaE
1199437011813203968,2019-11-26 21:17:22,RT @MITGlobalChange: An MIT Joint Program workshop in November explored the potential of the program's unique assessment strategies &amp; tools…
1199432304109580288,2019-11-26 20:58:40,RT @BostonGlobe: Good old fashioned bun: These @MIT students just unofficially set the world record for longest throw-and-catch of a hotdog…
1199416601495261184,2019-11-26 19:56:16,"RT @ScienceMIT: &gt;100 high schoolers competed at the inaugural #MITScienceBowl Invitational, hosted by students &amp; sponsored by @ScienceMIT.…"
1199404540174295040,2019-11-26 19:08:20,RT @SustainableMIT: How the creation of a sustainable community space @MIT became a cross campus collaboration https://t.co/1XHP0ComFD http…
1199388623562559493,2019-11-26 18:05:06,"MIT is teaming up with Harvard, GE, Fujifilm, and five area hospitals to build a center dedicated to new genetic an… https://t.co/A6PLzU8vdU"
1199373527738208256,2019-11-26 17:05:06,"Clear, conductive coating could protect advanced solar cells, touch screens https://t.co/BkLSUBrBWL https://t.co/HyJpj23qb0"
1199358422346543105,2019-11-26 16:05:05,Coating seeds with silk that has been imbued with nitrogen-producing bacteria can help the plants grow in salty soi… https://t.co/tf2xv5D0Zt
1199343332171739137,2019-11-26 15:05:07,What makes an image memorable? Ask a computer https://t.co/GLCu9bGZmd https://t.co/iMx0freQIJ
1199076945989783552,2019-11-25 21:26:36,Amber VanHemel and Phoebe Li broke the Guinness World Record for the longest throw and catch of a hot dog into a bu… https://t.co/9L2dmhnqcs
1199059804804698112,2019-11-25 20:18:29,"RT @MITBiology: Led by @MichaelPTSpence, Weng lab researchers @WhiteheadInst have uncovered the missing steps in the molecular pathway that…"
1199038315007238144,2019-11-25 18:53:06,"RT @ArtsatMIT: Check out ""The Modern Life of Origami, an Art as Old as Paper"" in @nytimes including MIT @MITEECS Lecturer Jason Ku,  MIT Pr…"
1199026247889760256,2019-11-25 18:05:08,MIT’s commuter benefits program is described by the Boston Globe Spotlight Team as a model for other area employers… https://t.co/ypqigKJCxP
1199011135200145411,2019-11-25 17:05:05,MIT Professional Education delivers Radical Innovation course to help civil servants modernize government and promo… https://t.co/5w6iZcN3DD
1198996034048942080,2019-11-25 16:05:05,Inclusive Innovation Challenge recognizes startups improving the future of work https://t.co/1hYoeqYrro https://t.co/ozYb1c8Rhz
1198980943140311040,2019-11-25 15:05:07,Passive device relies on a layer of material that blocks incoming sunlight but lets heat radiate away.… https://t.co/E73NCSiMn8
1198618542335283201,2019-11-24 15:05:04,"Five MIT students named 2020 Rhodes Scholars: Ali Daher, Claire Halloran, Francisca Vasconcelos, Billy Anderson Wol… https://t.co/gukxTiORMT"
1198271258510659585,2019-11-23 16:05:05,Researchers generate terahertz laser with laughing gas: Device may enable “T-ray vision” and better wireless commun… https://t.co/j4HrmA7WJi
1197997057677709325,2019-11-22 21:55:30,RT @MITstudents: The calm after a rainstorm 🌧 #aroundMIT https://t.co/UXogyzxymJ
1197967481035526145,2019-11-22 19:57:59,RT @WhiteheadInst: A new study led by @MichaelPTSpence in the Weng lab reveals the missing steps in how the plant Arabidopsis makes salicyl…
1197958021026107392,2019-11-22 19:20:23,RT @MITAthletics: Big things were going on over at the Pierce Boathouse today as the work is beginning for the renovation project and thing…
1197939064814686209,2019-11-22 18:05:04,"“There is degree of complexity that arises when there is a social mission to the project,” says senior lecturer Bri… https://t.co/DVMTEDTrSt"
1197923978150580224,2019-11-22 17:05:07,Microparticles could help fight malnutrition https://t.co/GzqB92SHAG https://t.co/nvuJ40mUSM
1197908870544449536,2019-11-22 16:05:05,Soft-bodied robots can move in a virtually infinite number of ways at any given moment. Optimizing them to perform… https://t.co/NmmJ2P5nWg
1197893774036344832,2019-11-22 15:05:06,"Drawn to open-ended problems: Whether racing cross country or teaching coding in rural schools, senior Billy Woltz… https://t.co/OFeEZNB4TN"
1197619704677859328,2019-11-21 20:56:02,"RT @ScienceMIT: With increasing data quality (images left to right from 2012, 2015, and 2019) @MIT_Physics &amp; @MITKavli Prof. Michael McDona…"
1197606469899710464,2019-11-21 20:03:27,"RT @MIT_SHASS: “The MIT mission is to serve humanity,” says Institute Professor Marcus Thompson, ""and the arts provide a powerful way for o…"
1197591777303310336,2019-11-21 19:05:04,High school students learn about commercial real estate through the Center for Real Estate https://t.co/THwegbVwoD… https://t.co/yoGDZFhwNd
1197576679658590209,2019-11-21 18:05:04,"“We need to be looking at alternatives to the car paradigm,” says Joanna Moody, a research program manager at the… https://t.co/FJ07wIB0W6"
1197560211206262785,2019-11-21 16:59:38,"📺 Fun fact for #WorldTelevisionDay: Technicolor was founded by three @MITAlumni—Herbert Kalmus 1904, Daniel Comstoc… https://t.co/1A7t7YnDDj"
1197546480770387970,2019-11-21 16:05:05,Senior @MITEECS major Adedoyin Olateru-Olagbegi is a certified EMT with @MITAmbulance. “It’s a scary thing to ride… https://t.co/hh3QkCn4cO
1197531381968060418,2019-11-21 15:05:05,"Self-transforming robot blocks jump, spin, flip, and identify each other: Developed at MIT’s Computer Science and A… https://t.co/HkMv1S3G8v"
1197260755613052929,2019-11-20 21:09:42,"RT @SustainableMIT: Through an @ISCNSecretariat visiting fellows exchange, @MIT and universities like @pucp share challenges, solutions, an…"
1197246523987255297,2019-11-20 20:13:09,"RT @LemelsonMIT: #OnThisDay in 1923, Garrett Morgan patented the three-way traffic signal. He also invented the gas mask. Historic inventor…"
1197231808431026176,2019-11-20 19:14:41,RT @MITdeptofBE: MIT Professor Angela Koehler is part of a team that has been awarded a federal grant to study one of the least-understood…
1197214290400481281,2019-11-20 18:05:04,De-Ice co-founder and CEO Alexander Bratianu ’15 developed a novel system to de-ice airplanes by wondering if he co… https://t.co/AeacTITvUQ
1197199205170925569,2019-11-20 17:05:08,Technique identifies T cells primed for certain allergies or infections https://t.co/vg1RC8SBxD https://t.co/l5xs3WtSpN
1197184097690542086,2019-11-20 16:05:06,MIT and @Lamborghini pave the way for the electric supercar of the future  https://t.co/cYlO1xY2Hh https://t.co/7LDHgo105F
1197168998548463618,2019-11-20 15:05:06,"The process could work on the gas at any concentrations, from power plant emissions to open air.… https://t.co/M41YeOsSJ8"
1196883242407718912,2019-11-19 20:09:36,"RT @medialab: While magnets have long shown promise for controlling robotic prostheses, tracking them was simply too slow. An algorithm dev…"
1196863862282174464,2019-11-19 18:52:36,RT @mitsap: The Collier Memorial is an @AIANational's 2019 Innovation Award winner. Congratulations to former @MITarchitecture head Meejin…
1196851902815907840,2019-11-19 18:05:04,MIT researchers developed a device that can remove carbon dioxide from the air at any concentration and from mobile… https://t.co/J0sUvW4GDs
1196836812133715969,2019-11-19 17:05:06,Times Higher Education ranks MIT No. 1 university worldwide for economics and business for 2020… https://t.co/RlwWST8utp
1196821708092694529,2019-11-19 16:05:05,"Transportation decisions involve cost, convenience, and — increasingly — carbon emissions. A new MITEI report on mo… https://t.co/pl20VSQ5UO"
1196806608241774593,2019-11-19 15:05:05,"Helping autonomous vehicles see around corners
By sensing tiny changes in shadows, a new system identifies approach… https://t.co/8B26nJcpCR"
1196534926939688963,2019-11-18 21:05:31,"RT @MITstudents: ""How diversity and outreach initiatives helped me find my place in MIT"" -Yamilex A.-S., @MITBiology graduate student. http…"
1196518538464432128,2019-11-18 20:00:24,"RT @MITLL: Kudos to the middle and high school girls who spent their last 8 Saturdays learning how to program robotic cars. On November 16,…"
1196501045398118400,2019-11-18 18:50:53,RT @MITBiology: “Scholarship support was a big factor in me coming to MIT.” Course 7 senior Muskaan Aggarwal discusses the scholarship supp…
1196489523821105152,2019-11-18 18:05:06,"“There is no single solution to the challenge of low wages and job quality,” writes Professor Paul Osterman. “We ne… https://t.co/1LxnNrqHhN"
1196474422149996549,2019-11-18 17:05:06,Improbability Walk at MIT.nano honors Mildred Dresselhaus: Courtyard space celebrates beloved professor’s research… https://t.co/MbvXnULEBd
1196459317240778752,2019-11-18 16:05:05,"A new laser produces terahertz waves, which can pass through materials that block visible light. The radiation can… https://t.co/sDUw2l9b3P"
1196444219642122252,2019-11-18 15:05:05,"MIT senior wins 2020 Rhodes Scholarship for Syria, Jordan, Lebanon, and Palestine region: The new Rhodes Scholarshi… https://t.co/rdgZcRvHWq"
1196096937579163648,2019-11-17 16:05:06,Drones can fly at high speeds to a destination while keeping safe “backup” plans if things go awry.… https://t.co/ChOGcnWATs
1195734548249817088,2019-11-16 16:05:06,Partners will work with J-PAL North America to develop randomized evaluations addressing today’s rapidly shifting l… https://t.co/aEmTgLvCrK
1195446177665187840,2019-11-15 20:59:13,RT @MITAthletics: More 👏 for Madison Lee of women's @mitvball as she was named to the @CoSIDAnews Academic All-District Team! This is the e…
1195430869256695808,2019-11-15 19:58:23,RT @MIT_alumni: “I wanted to write a series in which kids from marginalized cultures got to be the heroes”—Christine Taylor-Butler (@Christ…
1195420727039496192,2019-11-15 19:18:05,"RT @MIT_SHASS: #Happy100thBirthday to Leo Marx, MIT Professor of American Culture, Emeritus! Over the course of 40 years, the influential h…"
1195402357301022722,2019-11-15 18:05:06,"It's based on a method known as agonist-antagonist myoneural interface (AMI), which was invented at MIT. The idea b… https://t.co/DjnkLFlKuj"
1195387256804184066,2019-11-15 17:05:05,"Reaching the C-suite: no shortcuts, yet many paths: New @MITSloanExecEd program offers practical guidance for chart… https://t.co/ZV0kRylS3K"
1195372159306256384,2019-11-15 16:05:06,"As a high school student, Jaleesa Trapp discovered her love of STEM through a program founded by MIT’s Lifelong Kin… https://t.co/lQ82IaQacC"
