id,created_at,text
1201942845759852545,2019-12-03 19:14:40,"A blue whale's dunk tank-size heart jumps between extremes—from as low as two beats per minute to as high as 37, re… https://t.co/ag6vB9ntjm"
1201629174693351425,2019-12-02 22:28:15,The @stanforddschool has grown from a scrappy disrupter into a Silicon Valley institution. Now it finds itself incr… https://t.co/Ufp7ixABf8
1201577497273470976,2019-12-02 19:02:54,"RT @StanfordMSoccer: The passing. The movement. Just sublime.

#GoStanford https://t.co/5vYEzDfxIz"
1201569829364359168,2019-12-02 18:32:26,"""We want to advance #AI that respects the values of its human users and justifies the trust we place in autonomous… https://t.co/Yr8ut5hNOO"
1201184309153062913,2019-12-01 17:00:30,Stanford biologists are using rare poison frogs that nurse their young as a way to help answer a fundamental questi… https://t.co/rFT7N5vafh
1201154138144464897,2019-12-01 15:00:37,"“There were a lot of high fives and victory laps around the lab.” With a lot of ingenuity and a little luck, Stanfo… https://t.co/knDj3xjN5G"
1200791738186682371,2019-11-30 15:00:34,"Meet the parents. Poison frogs have a remarkable range of child-rearing strategies, and they're helping Stanford bi… https://t.co/mCOJ3vYZrP"
1200368956915273728,2019-11-29 11:00:35,"“There were a lot of high fives and victory laps around the lab.” With a lot of ingenuity and a little luck, Stanfo… https://t.co/BE8tWBU4wp"
1200051979919273984,2019-11-28 14:01:02,Stanford biologists are using rare poison frogs that nurse their young as a way to help answer a fundamental questi… https://t.co/nvPxBvvLqD
1199893288263835648,2019-11-28 03:30:27,"“There were a lot of high fives and victory laps around the lab.” With a lot of ingenuity and a little luck, Stanfo… https://t.co/N5iFpAkoNl"
1199870627294928896,2019-11-28 02:00:24,"Meet the parents. Poison frogs have a remarkable range of child-rearing strategies, and they're helping Stanford bi… https://t.co/fTlrrSROwD"
1199805453435318272,2019-11-27 21:41:26,"""I got very lucky."" @StanfordXCTF's Alex Ostberg on the journey from heart surgery to All-American: https://t.co/w60cX8OBvp"
1199382325496360961,2019-11-26 17:40:04,"In an audit of search media results for every candidate running for federal office in the 2018 U.S. election, Stanf… https://t.co/cH1osqcEE5"
1199091255281508352,2019-11-25 22:23:27,"RT @GoStanford: 𝐐𝐮𝐚𝐫𝐭𝐞𝐫𝐟𝐢𝐧𝐚𝐥. 𝐁𝐨𝐮𝐧𝐝.

@StanfordWSoccer keeps it rolling with a win over Penn State, and will host BYU at Cagan on Friday fo…"
1199090146089373699,2019-11-25 22:19:03,"RT @GoStanford: With its sweep of Colorado on Sunday, @StanfordWVB earned at least a share of the Pac-12 👑 for the 19th time.

🗞 » https://…"
1199056607784701952,2019-11-25 20:05:47,"With a lot of ingenuity and a little luck, researchers monitored the heart rate of a blue whale in the wild. The me… https://t.co/db7hL0QXYZ"
1198661014729961473,2019-11-24 17:53:50,"We did not #BeatCal, but we had fun trying. Take good care of that axe for us, @UCBerkeley.
⁣⁣
#GoStanford⁣⁣ https://t.co/bSWm9gjAIq"
1198363687028813824,2019-11-23 22:12:22,"RT @GoStanford: @SFGiants @LouSeal01 Besties.

#GoStanford https://t.co/cjeDjBBlmd"
1198038798199865345,2019-11-23 00:41:22,"Meet the parents. 

These little guys have a remarkable range of child-rearing strategies, and they're helping Stan… https://t.co/Aja2Ux7CKm"
1198013358672400384,2019-11-22 23:00:17,"Ten more train whistles until the 122nd Big Game at Stanford Stadium.

Kickoff:  Saturday at 1 p.m. 
History:… https://t.co/nPlky1JEWU"
1197711484014469122,2019-11-22 03:00:44,Stanford biologists are using rare poison frogs that nurse their young as a way to help answer a fundamental questi… https://t.co/sgdE5Omhlr
